timestamp,server_name,cpu_percent,memory_percent,disk_usage_percent,network_in_mbps,network_out_mbps,disk_io_read,disk_io_write,status
2025-01-15 08:00:00,web-server-01,36.8,38.7,50.5,183.0,101.5,650,838,healthy
2025-01-15 08:00:00,db-server-01,95.0,36.5,52.3,60.2,66.4,558,127,critical
2025-01-15 08:00:00,app-server-01,32.5,72.3,59.6,189.1,40.9,886,838,healthy
2025-01-15 08:00:00,cache-server-01,38.3,44.3,55.7,93.0,15.8,933,528,healthy
2025-01-15 08:05:00,web-server-01,27.9,41.6,25.0,78.2,18.9,703,563,healthy
2025-01-15 08:05:00,db-server-01,59.2,34.6,41.8,189.0,71.7,1037,934,healthy
2025-01-15 08:05:00,app-server-01,42.3,61.8,36.8,46.3,140.5,97,460,healthy
2025-01-15 08:05:00,cache-server-01,5.0,45.7,25.0,73.0,139.2,750,248,healthy
2025-01-15 08:10:00,web-server-01,28.7,42.9,56.0,165.7,49.0,982,815,healthy
2025-01-15 08:10:00,db-server-01,54.5,38.7,59.9,174.2,16.4,1225,943,healthy
2025-01-15 08:10:00,app-server-01,17.3,68.4,38.5,150.0,141.2,1080,303,healthy
2025-01-15 08:10:00,cache-server-01,13.8,22.8,48.9,151.2,29.2,441,56,healthy
2025-01-15 08:15:00,web-server-01,55.9,33.4,69.8,10.2,85.4,1121,246,healthy
2025-01-15 08:15:00,db-server-01,56.3,30.8,34.7,80.8,97.1,998,752,healthy
2025-01-15 08:15:00,app-server-01,24.5,73.6,64.3,198.7,59.6,1121,176,healthy
2025-01-15 08:15:00,cache-server-01,47.0,16.6,66.7,128.1,50.0,309,947,healthy
2025-01-15 08:20:00,web-server-01,45.1,28.9,40.9,104.0,96.1,721,732,healthy
2025-01-15 08:20:00,db-server-01,59.4,50.4,95.0,48.4,53.3,1115,425,critical
2025-01-15 08:20:00,app-server-01,20.6,60.3,52.9,193.1,77.2,197,790,healthy
2025-01-15 08:20:00,cache-server-01,16.7,29.7,25.0,194.1,79.6,1070,930,healthy
2025-01-15 08:25:00,web-server-01,12.9,35.5,82.5,12.0,100.7,329,209,warning
2025-01-15 08:25:00,db-server-01,48.2,49.3,27.3,63.9,133.8,513,634,healthy
2025-01-15 08:25:00,app-server-01,31.6,54.4,48.4,143.7,47.1,1408,464,healthy
2025-01-15 08:25:00,cache-server-01,50.1,31.7,84.1,43.4,57.4,205,716,warning
2025-01-15 08:30:00,web-server-01,63.4,27.3,41.7,110.3,65.9,54,113,healthy
2025-01-15 08:30:00,db-server-01,83.4,42.9,38.4,191.7,66.0,1262,574,warning
2025-01-15 08:30:00,app-server-01,17.2,73.8,69.6,139.0,35.8,1071,188,healthy
2025-01-15 08:30:00,cache-server-01,28.9,36.9,78.8,104.4,86.5,415,848,healthy
2025-01-15 08:35:00,web-server-01,41.8,53.6,47.8,107.4,42.7,348,622,healthy
2025-01-15 08:35:00,db-server-01,48.3,44.7,55.3,41.6,117.6,743,728,healthy
2025-01-15 08:35:00,app-server-01,41.7,82.9,54.2,30.7,73.4,471,624,warning
2025-01-15 08:35:00,cache-server-01,38.6,49.0,32.0,47.3,105.2,1149,247,healthy
2025-01-15 08:40:00,web-server-01,33.9,35.1,63.7,114.4,49.3,488,815,healthy
2025-01-15 08:40:00,db-server-01,69.8,53.6,44.1,48.0,134.6,1104,277,healthy
2025-01-15 08:40:00,app-server-01,53.1,58.3,57.7,44.2,88.3,309,559,healthy
2025-01-15 08:40:00,cache-server-01,36.7,40.3,85.8,38.1,70.3,848,415,warning
2025-01-15 08:45:00,web-server-01,52.8,59.5,46.6,171.7,57.5,147,194,healthy
2025-01-15 08:45:00,db-server-01,41.7,48.2,32.7,196.2,129.4,273,421,healthy
2025-01-15 08:45:00,app-server-01,32.4,70.4,87.5,44.8,149.2,1413,837,warning
2025-01-15 08:45:00,cache-server-01,47.0,27.8,31.4,199.6,55.4,302,32,healthy
2025-01-15 08:50:00,web-server-01,44.8,31.4,86.4,97.9,121.8,338,122,warning
2025-01-15 08:50:00,db-server-01,56.3,55.4,56.0,66.7,109.8,936,495,healthy
2025-01-15 08:50:00,app-server-01,35.6,82.4,95.0,73.8,148.7,1260,651,critical
2025-01-15 08:50:00,cache-server-01,16.9,24.7,47.7,81.0,63.5,743,562,healthy
2025-01-15 08:55:00,web-server-01,37.1,30.8,60.1,93.4,81.5,974,421,healthy
2025-01-15 08:55:00,db-server-01,33.9,34.3,95.0,134.0,23.2,229,595,critical
2025-01-15 08:55:00,app-server-01,31.7,68.4,45.8,106.9,113.8,970,761,healthy
2025-01-15 08:55:00,cache-server-01,39.9,47.3,61.0,145.4,53.0,694,745,healthy
2025-01-15 09:00:00,web-server-01,46.1,18.7,60.4,145.6,32.4,373,299,healthy
2025-01-15 09:00:00,db-server-01,86.2,51.8,64.2,127.6,98.7,322,438,critical
2025-01-15 09:00:00,app-server-01,50.3,82.0,71.1,113.3,19.8,905,138,warning
2025-01-15 09:00:00,cache-server-01,26.4,37.0,50.9,194.6,54.7,98,423,healthy
2025-01-15 09:05:00,web-server-01,19.1,15.0,57.2,182.3,81.5,426,536,healthy
2025-01-15 09:05:00,db-server-01,48.9,52.4,90.3,63.0,81.5,211,990,critical
2025-01-15 09:05:00,app-server-01,29.2,89.4,36.2,190.9,7.8,776,691,critical
2025-01-15 09:05:00,cache-server-01,39.8,28.2,54.6,101.7,61.9,1389,574,healthy
2025-01-15 09:10:00,web-server-01,40.9,21.3,83.7,82.9,9.8,426,548,warning
2025-01-15 09:10:00,db-server-01,41.9,49.1,29.8,180.3,55.5,738,124,healthy
2025-01-15 09:10:00,app-server-01,23.4,82.4,66.3,92.1,94.0,1029,362,warning
2025-01-15 09:10:00,cache-server-01,21.6,29.5,65.9,139.1,46.2,737,575,healthy
2025-01-15 09:15:00,web-server-01,25.7,32.6,69.0,187.5,68.6,748,518,healthy
2025-01-15 09:15:00,db-server-01,38.8,40.5,39.9,25.8,95.4,1469,916,healthy
2025-01-15 09:15:00,app-server-01,13.1,64.3,51.9,194.0,124.1,784,637,healthy
2025-01-15 09:15:00,cache-server-01,9.1,15.0,80.1,56.7,18.6,315,948,warning
2025-01-15 09:20:00,web-server-01,42.5,44.6,70.4,82.5,12.4,868,633,healthy
2025-01-15 09:20:00,db-server-01,72.2,65.4,34.6,121.9,148.9,158,392,healthy
2025-01-15 09:20:00,app-server-01,13.6,54.0,75.7,123.1,49.0,568,498,healthy
2025-01-15 09:20:00,cache-server-01,57.3,42.4,69.6,119.1,125.9,304,417,healthy
2025-01-15 09:25:00,web-server-01,41.3,33.3,55.0,161.7,127.4,829,300,healthy
2025-01-15 09:25:00,db-server-01,39.8,36.8,75.6,70.2,143.8,879,676,healthy
2025-01-15 09:25:00,app-server-01,50.9,84.0,56.1,131.1,14.7,1191,227,warning
2025-01-15 09:25:00,cache-server-01,11.7,37.3,28.2,59.2,109.7,82,135,healthy
2025-01-15 09:30:00,web-server-01,34.0,33.8,71.8,183.6,50.6,362,73,healthy
2025-01-15 09:30:00,db-server-01,76.3,62.0,46.4,68.9,27.0,533,942,warning
2025-01-15 09:30:00,app-server-01,47.4,73.5,28.9,182.8,142.0,1432,52,healthy
2025-01-15 09:30:00,cache-server-01,7.7,37.2,69.1,62.0,127.0,905,289,healthy
2025-01-15 09:35:00,web-server-01,47.3,15.0,53.4,121.1,117.3,1385,827,healthy
2025-01-15 09:35:00,db-server-01,62.9,57.5,62.5,172.5,58.8,686,759,healthy
2025-01-15 09:35:00,app-server-01,6.4,47.3,55.2,103.2,123.7,1388,969,healthy
2025-01-15 09:35:00,cache-server-01,26.9,24.4,42.4,74.0,45.5,1358,327,healthy
2025-01-15 09:40:00,web-server-01,27.9,48.0,73.8,175.6,137.5,593,953,healthy
2025-01-15 09:40:00,db-server-01,40.2,51.2,51.7,163.8,93.7,1297,481,healthy
2025-01-15 09:40:00,app-server-01,16.5,70.1,75.9,118.2,23.0,1404,423,healthy
2025-01-15 09:40:00,cache-server-01,10.4,32.2,72.6,149.6,136.7,1392,442,healthy
