timestamp,level,server_name,client_ip,http_method,endpoint,http_status,response_time_ms,user_agent,message
2025-01-15 08:00:00,INFO,app-server-01,192.168.1.115,PUT,/api/users,200,75,Firefox/121.0,PUT request to /api/users completed with status 200
2025-01-15 08:00:30,INFO,app-server-01,192.168.1.22,POST,/api/health,200,41,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/health completed with status 200
2025-01-15 08:01:00,INFO,web-server-01,192.168.1.205,PUT,/api/payment,200,24,PostmanRuntime/7.0.0,PUT request to /api/payment completed with status 200
2025-01-15 08:01:30,INFO,db-server-01,192.168.1.219,POST,/api/users,200,50,PostmanRuntime/7.0.0,POST request to /api/users completed with status 200
2025-01-15 08:02:00,ERROR,app-server-01,192.168.1.99,GET,/api/products,500,242,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/products completed with status 500
2025-01-15 08:02:30,DEBUG,app-server-01,192.168.1.42,DELETE,/api/orders,200,54,Firefox/121.0,DELETE request to /api/orders completed with status 200
2025-01-15 08:03:00,INFO,web-server-01,192.168.1.254,PUT,/api/health,200,11,PostmanRuntime/7.0.0,PUT request to /api/health completed with status 200
2025-01-15 08:03:30,DEBUG,app-server-01,192.168.1.62,GET,/api/login,200,61,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/login completed with status 200
2025-01-15 08:04:00,INFO,web-server-01,192.168.1.106,POST,/api/login,200,65,Chrome/120.0.0.0 Safari/537.36,POST request to /api/login completed with status 200
2025-01-15 08:04:30,INFO,db-server-01,192.168.1.73,GET,/api/orders,200,63,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/orders completed with status 200
2025-01-15 08:05:00,INFO,db-server-01,192.168.1.244,DELETE,/api/health,200,61,Firefox/121.0,DELETE request to /api/health completed with status 200
2025-01-15 08:05:30,INFO,db-server-01,192.168.1.239,GET,/api/reports,200,94,Firefox/121.0,GET request to /api/reports completed with status 200
2025-01-15 08:06:00,INFO,web-server-01,192.168.1.11,GET,/api/search,200,25,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/search completed with status 200
2025-01-15 08:06:30,INFO,db-server-01,192.168.1.61,PUT,/api/orders,200,111,Chrome/120.0.0.0 Safari/537.36,PUT request to /api/orders completed with status 200
2025-01-15 08:07:00,WARNING,web-server-01,192.168.1.164,DELETE,/api/search,404,64,PostmanRuntime/7.0.0,DELETE request to /api/search completed with status 404
2025-01-15 08:07:30,INFO,db-server-01,192.168.1.31,DELETE,/api/login,200,54,Firefox/121.0,DELETE request to /api/login completed with status 200
2025-01-15 08:08:00,DEBUG,app-server-01,192.168.1.251,GET,/api/users,200,52,PostmanRuntime/7.0.0,GET request to /api/users completed with status 200
2025-01-15 08:08:30,DEBUG,web-server-01,192.168.1.247,POST,/api/users,200,78,PostmanRuntime/7.0.0,POST request to /api/users completed with status 200
2025-01-15 08:09:00,INFO,app-server-01,192.168.1.139,POST,/api/users,200,16,PostmanRuntime/7.0.0,POST request to /api/users completed with status 200
2025-01-15 08:09:30,INFO,db-server-01,192.168.1.188,GET,/api/users,200,86,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/users completed with status 200
2025-01-15 08:10:00,INFO,db-server-01,192.168.1.208,POST,/api/reports,200,99,PostmanRuntime/7.0.0,POST request to /api/reports completed with status 200
2025-01-15 08:10:30,DEBUG,app-server-01,192.168.1.122,DELETE,/api/login,200,46,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,DELETE request to /api/login completed with status 200
2025-01-15 08:11:00,DEBUG,web-server-01,192.168.1.235,DELETE,/api/health,200,13,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,DELETE request to /api/health completed with status 200
2025-01-15 08:11:30,DEBUG,db-server-01,192.168.1.19,POST,/api/health,200,94,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/health completed with status 200
2025-01-15 08:12:00,INFO,app-server-01,192.168.1.25,PUT,/api/orders,200,43,Firefox/121.0,PUT request to /api/orders completed with status 200
2025-01-15 08:12:30,INFO,web-server-01,192.168.1.5,POST,/api/reports,200,66,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/reports completed with status 200
2025-01-15 08:13:00,INFO,db-server-01,192.168.1.180,PUT,/api/login,200,148,PostmanRuntime/7.0.0,PUT request to /api/login completed with status 200
2025-01-15 08:13:30,INFO,db-server-01,192.168.1.96,GET,/api/orders,200,102,Chrome/120.0.0.0 Safari/537.36,GET request to /api/orders completed with status 200
2025-01-15 08:14:00,INFO,web-server-01,192.168.1.122,POST,/api/orders,200,63,Firefox/121.0,POST request to /api/orders completed with status 200
2025-01-15 08:14:30,INFO,db-server-01,192.168.1.147,POST,/api/login,200,92,Firefox/121.0,POST request to /api/login completed with status 200
2025-01-15 08:15:00,INFO,web-server-01,192.168.1.102,PUT,/api/reports,200,45,Chrome/120.0.0.0 Safari/537.36,PUT request to /api/reports completed with status 200
2025-01-15 08:15:30,INFO,web-server-01,192.168.1.111,PUT,/api/reports,200,47,PostmanRuntime/7.0.0,PUT request to /api/reports completed with status 200
2025-01-15 08:16:00,INFO,web-server-01,192.168.1.158,DELETE,/api/users,200,32,Firefox/121.0,DELETE request to /api/users completed with status 200
2025-01-15 08:16:30,DEBUG,web-server-01,192.168.1.124,POST,/api/login,200,67,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/login completed with status 200
2025-01-15 08:17:00,DEBUG,web-server-01,192.168.1.229,POST,/api/login,200,10,Firefox/121.0,POST request to /api/login completed with status 200
2025-01-15 08:17:30,INFO,web-server-01,192.168.1.170,POST,/api/products,200,75,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/products completed with status 200
2025-01-15 08:18:00,INFO,db-server-01,192.168.1.118,POST,/api/payment,200,123,PostmanRuntime/7.0.0,POST request to /api/payment completed with status 200
2025-01-15 08:18:30,INFO,db-server-01,192.168.1.104,GET,/api/payment,200,74,Chrome/120.0.0.0 Safari/537.36,GET request to /api/payment completed with status 200
2025-01-15 08:19:00,INFO,app-server-01,192.168.1.186,GET,/api/users,200,61,PostmanRuntime/7.0.0,GET request to /api/users completed with status 200
2025-01-15 08:19:30,INFO,app-server-01,192.168.1.54,GET,/api/users,200,49,Chrome/120.0.0.0 Safari/537.36,GET request to /api/users completed with status 200
2025-01-15 08:20:00,DEBUG,app-server-01,192.168.1.209,PUT,/api/payment,200,42,PostmanRuntime/7.0.0,PUT request to /api/payment completed with status 200
2025-01-15 08:20:30,INFO,app-server-01,192.168.1.142,GET,/api/login,200,59,PostmanRuntime/7.0.0,GET request to /api/login completed with status 200
2025-01-15 08:21:00,DEBUG,db-server-01,192.168.1.58,PUT,/api/orders,200,51,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,PUT request to /api/orders completed with status 200
2025-01-15 08:21:30,INFO,db-server-01,192.168.1.246,PUT,/api/orders,200,149,Chrome/120.0.0.0 Safari/537.36,PUT request to /api/orders completed with status 200
2025-01-15 08:22:00,INFO,db-server-01,192.168.1.199,PUT,/api/users,200,90,PostmanRuntime/7.0.0,PUT request to /api/users completed with status 200
